,id,bdate,sex,last_seen,can_write_private_message,country,city,relation,games,books,tag
0,3900596,,1,"{'platform': 1, 'time': 1606319500}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
1,30016109,,1,"{'platform': 7, 'time': 1328687461}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 314, 'title': 'Kyiv'}",,,,
2,11823701,10.7.1986,1,"{'platform': 2, 'time': 1635474171}",1,"{'id': 1, 'title': 'Russia'}","{'id': 29, 'title': 'Birsk'}",4,,,
3,43862843,,2,"{'platform': 1, 'time': 1606270714}",1,"{'id': 1, 'title': 'Russia'}","{'id': 60, 'title': 'Kazan'}",5,,,
4,2083381,,2,"{'platform': 7, 'time': 1196158426}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
5,27788116,,2,"{'platform': 1, 'time': 1620152887}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 292, 'title': 'Odessa'}",,,,
6,13509322,,2,"{'platform': 7, 'time': 1321203070}",1,"{'id': 18, 'title': 'Uzbekistan'}","{'id': 1917048, 'title': 'Fergana'}",,,,
7,39090418,,1,"{'platform': 7, 'time': 1328713169}",1,"{'id': 2, 'title': 'Ukraine'}","{'id': 552, 'title': 'Luhansk'}",,,,
8,37240036,,2,"{'platform': 7, 'time': 1284452598}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",,,,
9,26930697,,2,"{'platform': 7, 'time': 1317554699}",1,"{'id': 1, 'title': 'Russia'}","{'id': 1, 'title': 'Moscow'}",,,,
10,35558586,,1,"{'platform': 7, 'time': 1386393995}",,"{'id': 1, 'title': 'Russia'}","{'id': 158, 'title': 'Chelyabinsk'}",,,,
11,6902130,,1,"{'platform': 1, 'time': 1627969153}",1,"{'id': 1, 'title': 'Russia'}","{'id': 2, 'title': 'Saint Petersburg'}",1,пукпфукпфукпфук,укпук,
